tconst	averageRating	numVotes
tt0000001	5.7	1863
tt0000002	6.0	243
tt0000003	6.5	1632
tt0000004	6.0	158
tt0000005	6.2	2458
tt0000006	5.2	164
tt0000007	5.4	765
tt0000008	5.4	2006
tt0000009	5.9	193
tt0000010	6.9	6715
tt0000011	5.2	343
tt0000012	7.5	11530
tt0000013	5.8	1781
tt0000014	7.1	5177
tt0000015	6.2	982
tt0000016	5.9	1385
tt0000017	4.6	305
tt0000018	5.3	558
tt0000019	5.2	30
tt0000020	4.9	330
tt0000022	5.1	1025
tt0000023	5.7	1343
tt0000024	4.4	86
tt0000025	4.3	39
tt0000026	5.6	1453
tt0000027	5.6	1081
tt0000028	5.2	997
tt0000029	6.0	3179 
